group,model,acc,f1,auc
pooled,LogReg,0.771806191137813,0.8665793547922518,0.6170204895287116
pooled,RF,0.8216824530545794,0.900685731679346,0.5573386926221806
agent,LogReg,0.771423255381252,0.8663360277083909,0.6173798305831952
agent,RF,0.8219893867330287,0.9008851123710695,0.5578683430111984
human,LogReg,0.6151761517615176,0.7356664184661206,0.5772295081967213
human,RF,0.7837398373983739,0.8736942070275404,0.588313524590164
